ID,Content,FoodID,UserID
1,"Absolutely amazing food! The flavors were incredible, and the presentation was top-notch. Highly recommend!",1,2
2,"Good food with decent portion sizes. The service was a bit slow, but overall a nice experience.",2,2
3,"Nice place with a cozy atmosphere. The food was tasty, but the menu could use a bit more variety.",3,3
4,"Junk food at its best! If you're looking for a quick and greasy meal, this is the place to go.",4,3
5,"Good food, but a bit overpriced for what you get. The ingredients were fresh though.",1,2
7,"Great experience! The staff was friendly, and the food was delicious. Will definitely be back.",2,2
9,"The food was just okay. Nothing special, but not bad either. Could use more seasoning.",4,4
10,"Delicious and tasty! Every bite was a delight. The spices were just perfect.",5,2
11,"Fresh and tasty! You can tell they use high-quality ingredients. Highly recommend the salads.",6,2
12,"Rich and creamy! The pasta dishes are especially good. Very satisfying meal.",7,2
13,"Spicy and flavorful! If you love a good kick, this place is for you.",8,2
14,"Delicious and tasty! Every bite was a delight. The spices were just perfect.",1,2
15,"Fresh and tasty! You can tell they use high-quality ingredients. Highly recommend the salads.",2,2
16,"Rich and creamy! The pasta dishes are especially good. Very satisfying meal.",3,2
17,"Spicy and flavorful! If you love a good kick, this place is for you.",4,2
18,"Delicious and tasty! Every bite was a delight. The spices were just perfect.",5,2
19,"Fresh and tasty! You can tell they use high-quality ingredients. Highly recommend the salads.",6,2
20,"Rich and creamy! The pasta dishes are especially good. Very satisfying meal.",7,2
21,"Spicy and flavorful! If you love a good kick, this place is for you.",8,2
22,"These brownies are out of this world! So rich and chocolatey with the perfect balance of gooeyness and chewiness. I could eat them all day.",25,1
23,"Absolutely loved these brownies! They have that perfect homemade taste, and the texture is just right. Will definitely order again.",25,2
24,"The best brownies I've ever had! They melt in your mouth and leave you wanting more. Perfect for a sweet treat or dessert.",25,3
25,"Decadent and delicious! These brownies are a chocolate lover's dream come true. The flavor is intense, and they are incredibly satisfying.",25,4